"MONATSZAHL","AUSPRAEGUNG","JAHR","MONAT","WERT","VORJAHRESWERT","VERAEND_VORMONAT_PROZENT","VERAEND_VORJAHRESMONAT_PROZENT","ZWOELF_MONATE_MITTELWERT"
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202401",37808,37119,0.17,1.86,37447
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202402",37865,37116,0.15,2.02,37509
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202403",37853,37095,-0.03,2.04,37572
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202404",37910,37125,0.15,2.11,37638
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202405",37830,37099,-0.21,1.97,37698
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202406",37819,37149,-0.03,1.8,37754
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202407",37958,37357,0.37,1.61,37804
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202408",38091,37471,0.35,1.65,37856
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202409",38244,37792,0.4,1.2,37894
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202410",38336,37829,0.24,1.34,37936
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202411",38368,37775,0.08,1.57,37985
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2024,"202412",38375,37742,0.02,1.68,38038
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2023,"202301",37119,35270,0.06,5.24,36528
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2023,"202302",37116,35325,-0.01,5.07,36677
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2023,"202303",37095,35934,-0.06,3.23,36774
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2023,"202304",37125,36182,0.08,2.61,36852
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2023,"202305",37099,36352,-0.07,2.05,36914
"Altersgruppen","Berufsschulpflichtige (15 bis 17 J.)",2023,"202306",37149,36419,0.13,2,36975
